case_id,status,design_sha256,unit_particle_fraction,unit_stiffness_ratio,unit_matrix_poissons_ratio,unit_particle_poissons_ratio,particle_fraction,stiffness_ratio,matrix_poissons_ratio,particle_poissons_ratio,particle_radius,matrix_youngs_modulus,particle_youngs_modulus,center_x,center_y,prescribed_x_displacement,mesh_size,model_dimension,model_assumption,model_interface,rve_width,rve_height,analytical_particle_fraction,meshed_particle_fraction,particle_fraction_error,cell_count,average_epsilon_xx,average_epsilon_yy,average_sigma_xx,average_sigma_yy,effective_modulus,effective_poissons_ratio,matrix_sigma_xx_min,matrix_sigma_xx_max,particle_sigma_xx_min,particle_sigma_xx_max,solver_convergence_reason,verification_solver_converged,verification_positive_material_areas,verification_total_area,verification_particle_fraction,verification_average_epsilon_xx,verification_finite_response,verification_positive_effective_modulus
M4PB_001,success,f932ea684ff886d8b607cd15c103587be270147c5c0c0c1838b6c0d8b3bb8ffa,0.1622156464130088,0.7514915088014779,0.3614417554927828,0.09254298522187009,0.09055391160325219,15.5268471584266,0.2722883510985566,0.168508597044374,0.1697769280436192,1000.0,15526.8471584266,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.09055391160325221,0.09034194923040333,0.00021196237284888675,5756,0.010000000000000012,-0.0027472271114161715,11.361899159108262,2.06008821113102e-13,1136.1899159108248,0.27472271114161684,0.9798616576848667,16.682332055930353,16.09857464275816,16.52843674356718,4,True,True,True,True,True,True,True
M4PB_002,success,83d0d6c983b8a61de054da85c514c727a7b07011f73b37aee0b078388c3c79c3,0.7097827492744269,0.3825117681990059,0.4018160693147017,0.9944832721196478,0.2274456873186067,8.885211827582106,0.2803632138629403,0.3488966544239295,0.2690691562468276,1000.0,8885.211827582107,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.22744568731860662,0.22722851445007727,0.00021717286852934725,5712,0.010000000000000002,-0.002900796804958917,13.700278230426155,-1.6898982213575656e-13,1370.0278230426152,0.29007968049589167,2.180309660520136,19.85631685519566,17.486898608040036,19.455107194311346,4,True,True,True,True,True,True,True
M4PB_003,success,970e3dbebac21cc4636ceb23e65a5111fee11bdc9580b552ff4b25d52189e96d,0.964539778584708,0.8996547580599088,0.2999160319449493,0.5413774358252218,0.291134944646177,18.19378564507836,0.2599832063889899,0.2582754871650443,0.3044193342980186,1000.0,18193.78564507836,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.291134944646177,0.29091819914306927,0.00021674550310774032,5752,0.009999999999999995,-0.0026878295629475615,15.89387481362865,-4.742595205442513e-13,1589.3874813628656,0.2687829562947563,1.4531936056456207,24.175288027764356,19.93407645650892,23.596163948089256,4,True,True,True,True,True,True,True
M4PB_004,success,fc09f1a79452bae51fac54ce18859578a1b15375d2997f9cf9eff1f6a3e45bd2,0.1037839494760412,0.9616462155077695,0.2517361737609912,0.1901675535745404,0.07594598736901029,19.30963187913985,0.2503472347521983,0.1880335107149081,0.1554810554233064,1000.0,19309.63187913985,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.07594598736901031,0.07572928744412653,0.00021669992488378143,5706,0.010000000000000054,-0.0025421004957682236,11.150928232752698,7.382983113757313e-15,1115.0928232752638,0.254210049576821,0.8527100140132816,16.424817660672513,15.772903072985375,16.616802560845485,4,True,True,True,True,True,True,True
M4PB_005,success,10a9062c6c717d3d5c4573cc70935bdac80c857f927f14633a6b2a7241223d6d,0.0966347234699086,0.1133290998393332,0.3195876893110885,0.4639268556134438,0.07415868086747715,4.039923797107997,0.2639175378622177,0.2427853711226887,0.1536406237505781,1000.0,4039.923797107997,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.07415868086747714,0.07394708074046341,0.00021160012701372521,5754,0.010000000000000023,-0.0026506916671829,10.790686136816879,1.380354164304267e-13,1079.0686136816855,0.2650691667182894,3.4780997835605496,14.493920674783269,14.149187943658026,14.538266014339088,4,True,True,True,True,True,True,True
M4PB_006,success,f0dcadcd2572134346dad744ce19395a1e3cc152ac285ef1600397705e4f8010,0.6654293353383327,0.4772066137220839,0.7918383742795901,0.1727431695538234,0.2163573338345832,10.58971904699751,0.358367674855918,0.1845486339107647,0.262428425114191,1000.0,10589.71904699751,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2163573338345831,0.21614042391755037,0.00021690991703274265,5722,0.009999999999999995,-0.0034809057828809123,13.596103844960027,-1.3411494137471868e-13,1359.6103844960032,0.3480905782880914,1.7246069138879963,19.961616950618794,17.57164093857761,19.33692395398864,4,True,True,True,True,True,True,True
M4PB_007,success,7df821bcd90914c70821206596e6da389fb12b14780f2020446c6d658c4c9d00,0.9168371281797831,0.7427395677795178,0.8003473629935031,0.770413022357003,0.2792092820449458,15.36931222003132,0.3600694725987006,0.3040826044714006,0.298119229150326,1000.0,15369.31222003132,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2792092820449457,0.2789922812126617,0.0002170008322840422,5738,0.00999999999999998,-0.003520960633541764,15.42014863585064,-3.4554303862677175e-13,1542.0148635850674,0.3520960633541771,1.5765488310199829,23.484311422009135,19.196032070063787,22.714860033713233,4,True,True,True,True,True,True,True
M4PB_008,success,ea4a3ce65b2f003fd002ad974325b8883ad79e5897b088e9d19ce7c67817b326,0.5316916368542173,0.719439483572684,0.2262575130593057,0.1093692557370192,0.1829229092135543,14.94991070430831,0.2452515026118612,0.1718738511474038,0.2413009954645325,1000.0,14949.91070430831,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.18292290921355425,0.18270901370964773,0.00021389550390651935,5750,0.009999999999999957,-0.002528986990604804,13.080972261168935,-9.950373858202948e-14,1308.097226116899,0.25289869906048146,1.3305416974444366,19.28867577587691,17.469478563645865,18.896092832190647,4,True,True,True,True,True,True,True
M4PB_009,success,9a4e5ec41e0d27bf05c013b1ad83a9021aa42ba5441a18f32ecf51a95e990cae,0.3300539850747883,0.5900907258456074,0.434037231689495,0.2447172534492533,0.1325134962686971,12.62163306522093,0.286807446337899,0.1989434506898506,0.2053785673216783,1000.0,12621.63306522093,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.1325134962686971,0.1322939270240323,0.00021956924466479122,5658,0.010000000000000007,-0.0028882526600916645,12.037631224837684,2.434927259820084e-13,1203.7631224837676,0.28882526600916625,1.291227167385857,17.40969863797639,16.45019490060425,17.15216063614764,4,True,True,True,True,True,True,True
M4PB_010,success,3e8128c4713f6406109e8b620efc0f24f03e1083faef70eec89818bd850dce58,0.2007129160037338,0.9899516402583568,0.6105260315049262,0.9702587286012805,0.1001782290009335,19.81912952465042,0.3221052063009853,0.3440517457202561,0.1785713321655546,1000.0,19819.12952465042,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.10017822900093341,0.0999604715319773,0.00021775746895610903,5676,0.010000000000000037,-0.0032362891590239,11.557103028362459,2.043330782353087e-13,1155.7103028362417,0.3236289159023888,0.6417441188848688,16.97004408012752,16.223781279848556,16.768864069151906,4,True,True,True,True,True,True,True
M4PB_011,success,020a150ee05a6c02127884579d5592823ad6fb678aa15baa6a56cebb34fc4a28,0.2852827282437124,0.2898826071541377,0.04519467869720803,0.957928038976966,0.1213206820609281,7.217886928774479,0.2090389357394416,0.3415856077953932,0.1965135427866331,1000.0,7217.886928774478,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.12132068206092811,0.12110626799543096,0.00021441406549714548,5720,0.010000000000000028,-0.0022180217233588547,11.673811699079389,-1.341982081015655e-14,1167.3811699079356,0.22180217233588484,2.3016513001251853,16.563007765133886,15.795961612308414,16.431551921368076,4,True,True,True,True,True,True,True
M4PB_012,success,c8defff83ca5d2b6562671c3ed68c6a359c7558309413f7eb54fd56f06368d24,0.9906998804329927,0.1999506284908765,0.6695251963878481,0.8669890659960023,0.2976749701082482,5.599111312835777,0.3339050392775696,0.3233978131992005,0.3078195670436169,1000.0,5599.111312835777,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.29767497010824817,0.2974579956531543,0.0002169744550938879,5754,0.010000000000000024,-0.0033099280544559868,14.584391369781084,1.0350401091763217e-13,1458.439136978105,0.3309928054455979,3.3510588080001535,20.972808786840737,17.65712233347034,20.413671241769094,4,True,True,True,True,True,True,True
M4PB_013,success,34cc3689eacfe5378c3bc5ea11db65a0be8c60729289cc0685fef9a68a7ea56e,0.8719612081138639,0.3295215761877074,0.278626367924569,0.0616123958088758,0.267990302028466,7.931388371378733,0.2557252735849138,0.1623224791617751,0.2920684209856326,1000.0,7931.388371378734,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2679903020284661,0.267772663034323,0.00021763899414306564,5730,0.009999999999999983,-0.002559678013336811,14.470476883505839,1.3480883076510933e-13,1447.0476883505864,0.2559678013336815,2.5375142577923775,21.03571157404411,18.10461804976783,20.595714057242446,4,True,True,True,True,True,True,True
M4PB_014,success,c9693f12d195d3531221bba690fccb267331a9460fb0b2c72a9fd48ba2d01100,0.8162742435007548,0.1549885555649441,0.9275361963282738,0.133848418824506,0.2540685608751887,4.789794000168994,0.3855072392656548,0.1767696837649012,0.2843809675330978,1000.0,4789.794000168994,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.2540685608751887,0.2538527450094767,0.00021581586571201017,5746,0.010000000000000014,-0.003588264786558508,13.491679135469154,2.0368429165529296e-13,1349.1679135469135,0.35882647865585027,3.503389846044265,19.112374503874577,16.272342155185832,18.33654356103367,4,True,True,True,True,True,True,True
M4PB_015,success,81a063d72e4d9ec31c8dea00ca5f823a92fa82b37e141c76ee6b4787fce9db65,0.01056189911207114,0.7876755997526302,0.8788327957492168,0.4365901695566912,0.05264047477801779,16.17816079554734,0.3757665591498434,0.2373180339113382,0.1294449054047765,1000.0,16178.16079554734,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.05264047477801775,0.052424266411199745,0.00021620836681800204,5688,0.009999999999999988,-0.003736737962333197,10.76196096475247,-4.415530441281841e-13,1076.1960964752484,0.37367379623332014,0.5009689264860597,15.734387374243891,15.156867584615721,16.026945174082858,4,True,True,True,True,True,True,True
M4PB_016,success,776c6ce537edd062452b4dd3809704abbf759f7ef79d79efb1b6a2dbea8b952c,0.7448828523562323,0.1362133586370385,0.741772056546148,0.3990171844929897,0.2362207130890581,4.451840455466693,0.3483544113092296,0.2298034368985979,0.2742104817428246,1000.0,4451.840455466692,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.236220713089058,0.23600564798030454,0.00021506510875346496,5742,0.009999999999999959,-0.0033474813607674908,13.062725726276119,1.448147157745438e-14,1306.2725726276174,0.33474813607675047,3.637814503647504,18.077399170480774,16.04269581387024,17.58193238066563,4,True,True,True,True,True,True,True
M4PB_017,success,2d342a3799ccbf97da555ae087555cdbef1f47e9d36c98b154239f840a9de839,0.174461698445567,0.4512969519599991,0.1538872045588737,0.3617198531662872,0.09361542461139175,10.12334513527998,0.2307774409117747,0.2223439706332574,0.172623043517079,1000.0,10123.34513527998,0.5,0.5,0.01,0.02048,2,plane_stress,perfect_bonding,1.0,1.0,0.09361542461139176,0.09339629605929989,0.0002191285520918712,5648,0.010000000000000021,-0.0023639123020222437,11.338052997822334,8.24895707296492e-14,1133.805299782231,0.23639123020222388,1.599911814987727,16.386859048233354,15.7450632695356,16.37634281287812,4,True,True,True,True,True,True,True
